user,point_id,satellites_used,observation_count,avg_observation_gap_h,max_observation_gap_h,observation_times_utc,observation_times_sat_utc
User1,2025-01-01|0658|-31.5812|117.05273|6,FLOCK 4Q-34;SENTINEL-1A;TERRA SAR X,3,62.104166666666664,100.14166666666667,2025-01-01 22:23:30Z | 2025-01-02 22:27:30Z | 2025-01-07 02:36:00Z,2025-01-01 22:23:30Z@TERRA SAR X | 2025-01-02 22:27:30Z@SENTINEL-1A | 2025-01-07 02:36:00Z@FLOCK 4Q-34
User1,2025-01-01|0658|-31.58232|117.05537|5,,0,,,,
User1,2025-01-01|0658|-31.58682|117.06496|8,FLOCK 4Q-34;Landsat-8;SKYSAT-C11;SKYSAT-C13,7,56.59166666666666,76.225,2025-01-01 02:09:00Z | 2025-01-03 01:37:30Z | 2025-01-06 05:51:00Z | 2025-01-07 00:21:30Z | 2025-01-09 05:48:30Z | 2025-01-12 05:45:30Z | 2025-01-15 05:42:00Z,2025-01-01 02:09:00Z@FLOCK 4Q-34 | 2025-01-03 01:37:30Z@Landsat-8 | 2025-01-06 05:51:00Z@SKYSAT-C11 | 2025-01-07 00:21:30Z@SKYSAT-C13 | 2025-01-09 05:48:30Z@SKYSAT-C11 | 2025-01-12 05:45:30Z@SKYSAT-C11 | 2025-01-15 05:42:00Z@SKYSAT-C11
User1,2025-01-01|0658|-31.8418|116.34447|26,FLOCK 4Q-34;Global-19,2,27.133333333333333,27.133333333333333,2025-01-12 23:27:30Z | 2025-01-14 02:35:30Z,2025-01-12 23:27:30Z@Global-19 | 2025-01-14 02:35:30Z@FLOCK 4Q-34
User1,2025-01-01|0658|-31.84286|116.34275|11,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84358|116.33829|25,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84442|116.35977|21,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84457|116.33665|12,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84554|116.35812|17,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84624|116.33072|9,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84624|116.35338|20,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84699|116.32635|27,Global-19;ICEYE-X13;Landsat-8;SKYSAT-C11;SKYSAT-C13,7,47.633333333333326,145.31666666666666,2025-01-02 07:38:00Z | 2025-01-03 01:20:00Z | 2025-01-09 02:39:00Z | 2025-01-10 06:49:00Z | 2025-01-11 08:02:30Z | 2025-01-12 23:27:30Z | 2025-01-14 05:26:00Z,2025-01-02 07:38:00Z@ICEYE-X13 | 2025-01-03 01:20:00Z@SKYSAT-C13 | 2025-01-09 02:39:00Z@Landsat-8 | 2025-01-10 06:49:00Z@SKYSAT-C11 | 2025-01-11 08:02:30Z@ICEYE-X13 | 2025-01-12 23:27:30Z@Global-19 | 2025-01-14 05:26:00Z@Global-19
User1,2025-01-01|0658|-31.84736|116.35162|7,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84794|116.32465|10,Global-19;SKYSAT-C11,3,121.40833333333333,235.50833333333333,2025-01-03 03:57:00Z | 2025-01-12 23:27:30Z | 2025-01-13 06:46:00Z,2025-01-03 03:57:00Z@Global-19 | 2025-01-12 23:27:30Z@Global-19 | 2025-01-13 06:46:00Z@SKYSAT-C11
User1,2025-01-01|0658|-31.84815|116.34673|23,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84919|116.34509|14,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.84989|116.34066|24,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.85088|116.33907|13,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.85254|116.33312|16,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.8533|116.32874|22,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.85425|116.32703|15,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.85444|116.34921|18,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.85551|116.34745|3,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-31.85626|116.34285|19,Global-19,1,,,2025-01-12 23:27:30Z,2025-01-12 23:27:30Z@Global-19
User1,2025-01-01|0658|-33.67041|115.34043|0,Global-17;Global-18;Global-19;SENTINEL-1A;SKYSAT-C11;TERRA SAR X,29,12.06607142857143,17.116666666666667,2025-01-01 10:07:00Z | 2025-01-01 20:38:30Z | 2025-01-02 09:30:30Z | 2025-01-02 20:02:00Z | 2025-01-03 11:15:30Z | 2025-01-03 22:32:00Z | 2025-01-04 11:11:30Z | 2025-01-04 18:48:30Z | 2025-01-05 07:40:30Z | 2025-01-05 18:11:30Z | 2025-01-06 08:42:30Z | 2025-01-06 19:13:30Z | 2025-01-07 06:52:30Z | 2025-01-07 18:36:30Z | 2025-01-08 07:29:00Z | 2025-01-08 19:20:30Z | 2025-01-09 11:08:30Z | 2025-01-09 20:33:30Z | 2025-01-10 13:22:00Z | 2025-01-10 20:03:30Z | 2025-01-11 07:16:30Z | 2025-01-11 19:26:00Z | 2025-01-12 06:39:30Z | 2025-01-12 18:48:30Z | 2025-01-13 06:02:30Z | 2025-01-13 18:11:30Z | 2025-01-14 11:18:30Z | 2025-01-14 19:09:30Z | 2025-01-15 11:58:00Z,2025-01-01 10:07:00Z@Global-19 | 2025-01-01 20:38:30Z@Global-17 | 2025-01-02 09:30:30Z@Global-19 | 2025-01-02 20:02:00Z@Global-17 | 2025-01-03 11:15:30Z@TERRA SAR X | 2025-01-03 22:32:00Z@Global-18 | 2025-01-04 11:11:30Z@SENTINEL-1A | 2025-01-04 18:48:30Z@Global-17 | 2025-01-05 07:40:30Z@Global-19 | 2025-01-05 18:11:30Z@Global-17 | 2025-01-06 08:42:30Z@Global-19 | 2025-01-06 19:13:30Z@Global-17 | 2025-01-07 06:52:30Z@SKYSAT-C11 | 2025-01-07 18:36:30Z@Global-17 | 2025-01-08 07:29:00Z@Global-19 | 2025-01-08 19:20:30Z@SKYSAT-C11 | 2025-01-09 11:08:30Z@TERRA SAR X | 2025-01-09 20:33:30Z@Global-18 | 2025-01-10 13:22:00Z@Global-18 | 2025-01-10 20:03:30Z@Global-17 | 2025-01-11 07:16:30Z@Global-19 | 2025-01-11 19:26:00Z@Global-17 | 2025-01-12 06:39:30Z@Global-19 | 2025-01-12 18:48:30Z@Global-17 | 2025-01-13 06:02:30Z@Global-19 | 2025-01-13 18:11:30Z@Global-17 | 2025-01-14 11:18:30Z@TERRA SAR X | 2025-01-14 19:09:30Z@Global-18 | 2025-01-15 11:58:00Z@Global-18
